Country,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,X
World,4889.41,5016.62,5184.82,5414.49,5426.24,5369.39,5552.75,5684.66,5815.75,5971.42,5990.22,5994.02,5922.34,5974.27,6145.93,6257.07,6361.01,6481.71,6662.5,6777.44,6859.13,6844,6874.09,6892.43,7016.3,7132.03,7281.94,7463.98,7573.45,7720.79,7963.09,8025.51,8107.34,8256.36,8529.4,8774.67,9063.89,9355.44,9428.05,9192.8,9487.43,9691.85,9842.13,10005.29,10194.36,10389.29,10544.35,10773.5,10985.27,11141.03,10678.36,11223.88,11463.87,11635.98,11836.47,12076.66,12331.28,12582.26,12827.04,13076.62,13319.03,13552.87,13792.09,14036.84,
World less USA,3686.43,3801.98,3930.13,4114.5,4163.01,4131.7,4267.94,4359.7,4434.17,4572.36,4622.8,4612.93,4595.23,4602.29,4688.88,4761.01,4837.45,4931.21,5074.13,5156.79,5238.92,5255.01,5249.08,5243.45,5322.04,5416.91,5525.32,5651.45,5697.97,5775.52,5963.8,6034.65,6107.98,6224.82,6448.2,6647.74,6909.1,7197.57,7308.31,7156.31,7430.24,7633.42,7762.23,7914.28,8075.87,8230.8,8381.85,8590.41,8760.05,8886.22,8504.04,8939.79,9158.15,9313.99,9513.46,9733.24,9953.2,10172.68,10393.65,10621.53,10841.57,11055.12,11274.16,11498.86,
United States and Canada,24855.69,25336.81,26361.31,27593.63,27257.3,26956.92,28136.39,29111.47,30358.72,30991.41,30605.29,31090.62,30198.07,31244.34,33180.9,34272.7,35095.21,35988.03,37144.79,38076.03,38270.2,37670.61,38382.85,38916.37,40001.09,40587.68,41569.95,42907.53,44273.81,45836.93,47235.75,47255.75,47694.88,48675.81,50071.41,51415.07,52429.52,53097.96,52561.76,50747.96,51621.48,52085,52824.55,53420.66,54368.54,55470.3,55827.44,56728.91,58025.67,59045.78,57058.13,60209.14,61070.95,61700.78,62066.62,62871.74,63983.8,65038.99,65934.3,66776.41,67624.28,68425.87,69236.96,70057.67,
Canada,19421.17,19938.85,20793.76,21944.36,22351.91,22351.67,23355.4,23875.25,24507.63,25165.25,25376.96,25935.15,24807.75,25198.71,26432.65,27428.96,27736.96,28490.59,29365.35,29514.06,29125.13,28185.61,28013.94,28353.64,29246.69,29670.7,29813.93,30803.47,31409.88,32372.39,33659.36,33830.93,34696.49,35738.3,36853.45,38389,39641.24,41938.08,41869.61,40151.09,40902.18,41704.3,41948.85,42426.23,43202.25,43100.5,43131.9,44103.19,44612.29,44979.06,42357.31,44135.96,45289.52,45596.32,46015.93,46574.06,47178.19,47740.39,48309.86,48838.1,49323.57,49862.89,50408.11,50959.3, 
United States,25435.15,25911.68,26954.14,28196.61,27783.26,27452.99,28653.2,29678.46,30991.96,31621.25,31171.16,31650.05,30784.46,31902.62,33916.37,35018.89,35898.16,36809.59,38000.52,39025.8,39288.33,38724.84,39536.7,40092.99,41199.89,41804.94,42880.26,44252.93,45698.53,47324.11,48732.13,48733.9,49124.8,50097.93,51522.05,52842.82,53829.9,54320.75,53735.88,51915.62,52806.88,53237.9,54037.63,54652.84,55623.53,56862.72,57258.41,58155.75,59546.3,60646.37,58738.37,62055.29,62884.13,63552.23,63912.87,64747.21,65918.36,67032.29,67965.14,68843.42,69733.05,70564.85,71406.58,72258.35, 
Latin America,4251.42,4436.45,4642.37,4897.58,5115.86,5179.34,5333.5,5469.15,5554.25,5832.5,6091.6,6006.89,5858.16,5615.11,5708.58,5772.96,5884.23,5956.85,5877.45,5873.28,5766.76,5844.63,5890.71,6026.34,6233.44,6187.24,6336.77,6568.34,6643.25,6589.91,6733.94,6677.56,6624.59,6703.25,6989.03,7179.29,7454.76,7757.78,7954.58,7706.01,8116.9,8387.03,8508.09,8663.15,8693.12,8654.36,8562.78,8640.65,8686.89,8669.93,8029.03,8530.31,8789.27,8888.22,9026.4,9212.37,9416.52,9619.6,9834.26,10056.71,10289.25,10524.6,10765.47,11011.99,
Mexico,5158.53,5192.09,5461.01,5729.33,5899.83,6078.84,6190.07,6245.37,6644.69,7122.23,7606.64,8068.23,7842.66,7394.67,7474.82,7473.08,7090.49,7063.21,7010.23,7160.61,7395.18,7567.57,7691.68,7697.98,7937.13,7312.69,7680.1,8074.41,8362.54,8476.19,8778.65,8626.43,8509.81,8518.79,8736.05,8824.79,9106.97,9194.46,9173.21,8566.16,8875.5,9070.23,9272.52,9277.93,9421.67,9615.54,9780.52,9872.68,9969.97,9845.84,8984.01,9393.25,9636.71,9814.52,9943.96,10093.76,10231.14,10373.24,10517.31,10663.38,10811.49,10972.37,11135.65,11301.36, 
Other Caribbean Central America,3297.05,3424.75,3568.88,3673.04,3796.36,3799.78,3911.21,4103,4244.22,4296.34,4304.68,4385.9,4343.93,4289.79,4387.99,4357.18,4372.33,4406.12,4425.7,4473.2,4369.77,4267.27,4278.4,4267.28,4307.3,4409.65,4487.28,4614.42,4742.93,4885.83,5001.85,5100.34,5151.73,5199.7,5405.59,5540.14,5766.38,5956.37,6031.02,5912.77,6026.45,6142.83,6256.09,6347.03,6436.89,6577.26,6647.45,6720,6778.73,6861.83,6259.7,6633.58,6863.83,7013.83,7147.14,7304.1,7463.24,7626,7791.17,7958.24,8132.19,8300.8,8473.04,8648.99,
Antigua and Barbuda,,,,,,,,5044.93,5268.31,5701.37,6164.26,6425.86,6444.63,7037.43,7891.07,8503.75,9480.56,10106.27,10631.65,11197.35,11574.67,11851.94,11776.59,12183.45,12774.6,11999.86,12546.83,12974.37,13340.29,13604.09,14257.29,13306.74,13235.85,13836.86,14425,15145.26,16852,18173.6,17932.32,15556.85,14192.56,13735.67,14018.08,13757.97,14102.02,14460.74,15069.1,15354.03,16289.38,16842.91,13730.58,14459.03,15500.78,15669.09,15941.4,16170.29,16407.38,16650.81,16914.58,17182.54,17437.72,17714.24,17995.14,18280.49, 
Bahamas,28594.26,28409.34,26783.61,28232.17,23056.87,19265.69,19832.84,21183.54,23707.13,29229.33,30592.14,27289.9,28624.25,29153.33,32727.52,33769.61,33896.82,34453.66,34771.06,36566.29,35412.75,33362.68,31548.55,31142.33,31649.2,32578.1,33486.82,33715.95,34867.24,36915.07,37999.7,38575.11,39221.09,38357.13,38338.24,39286.72,39928.31,40145.87,38858.37,36893.91,37114.79,36998.3,37794.19,36350.92,36299.73,36205.82,36065.29,35765.23,36002.13,36327.62,27433.65,30929.7,33126.68,34258.5,34981.34,35529.67,35925.92,36318.36,36679.01,37006.83,37337.91,37671.94,38008.96,38349.01, 
