"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.616,20.057,18.02,18.883,18.336,18.876,20.136,14.288,14.467,no data,no data,no data,no data,no data,no data,no data
Albania,1.946,2.229,2.296,2.319,2.29,2.339,2.587,2.566,2.53,2.779,2.221,1.333,0.843,1.461,2.361,2.882,3.2,2.259,2.56,3.209,3.483,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.157,15.399,15.192,17.984,19.083,22.743,25.431,26.911,28.691,30.542,32.534,34.674
Algeria,45.957,48.156,48.599,51.582,55.906,66.346,66.783,68.698,56.07,57.041,67.171,50.65,53.414,55.309,46.044,45.654,50.945,52.287,52.297,53.011,59.418,59.413,61.516,73.482,91.914,107.047,123.084,142.483,180.384,150.317,177.785,218.332,227.144,229.701,238.943,187.494,180.764,190.004,194.507,193.361,164.774,185.884,225.631,244.746,266.78,277.339,287.038,294.125,300.405,306.032
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.429,1.547,1.758,2.362,2.896,3.158,3.456,3.952,4.082,3.675,3.446,3.625,3.189,3.193,3.267,2.789,2.895,2.993,3.217,3.155,2.885,3.325,3.376,3.726,3.897,4.033,4.16,4.289,4.421,4.554
Angola,6.639,6.214,6.214,6.476,6.864,8.457,7.918,9.05,9.818,11.421,12.571,12.186,9.395,6.819,4.965,6.197,7.994,9.388,7.958,7.526,11.166,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.022,101.353,84.516,57.139,74.861,122.826,94.381,92.123,95.386,98.704,104.687,109.642,114.976
Antigua and Barbuda,0.131,0.148,0.164,0.182,0.208,0.241,0.29,0.337,0.399,0.439,0.459,0.482,0.499,0.535,0.589,0.577,0.634,0.681,0.728,0.766,0.826,0.8,0.814,0.856,0.92,1.023,1.158,1.313,1.37,1.228,1.149,1.138,1.2,1.181,1.25,1.337,1.437,1.468,1.605,1.675,1.416,1.561,1.758,1.954,2.127,2.258,2.367,2.48,2.6,2.725
Argentina,233.696,189.802,94.25,116.267,130.544,98.599,118.565,121.561,142.386,91.352,158.024,211.979,255.787,264.429,287.835,288.497,304.282,327.436,334.244,316.998,317.759,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,524.431,446.762,385.218,487.377,630.662,654.892,604.26,558.957,592.49,629.443,663.404,694.081
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.108,0.835,0.648,1.287,1.597,1.639,1.892,1.845,1.912,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.619,12.642,13.879,19.514,24.155,25.408,27.151,29.151,31.284,33.575,36.048
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.321,1.38,1.532,1.665,1.723,1.873,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.276,3.396,2.559,3.103,3.545,3.937,4.069,4.181,4.308,4.442,4.58,4.723
Australia,162.957,188.448,187.087,179.514,197.175,174.419,181.514,213.142,271.143,308.356,324.069,324.449,318.084,309.298,353.374,379.095,424.75,426.412,381.5,412.062,400.254,378.004,425.486,541.343,658.941,736.417,783.356,950.04,1056.715,1000.983,1254.773,1515.485,1570.239,1520.194,1457.632,1234.526,1263.874,1382.612,1419.098,1388.204,1364.901,1657.799,1724.924,1741.882,1790.348,1863.238,1940.478,2016.877,2107.311,2208.401
Austria,80.923,70.121,70.111,71.032,67.007,68.624,97.375,121.771,133.591,133.263,166.866,174.435,195.506,190.383,203.97,241.234,237.343,213.045,218.557,217.475,197.377,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.114,455.198,444.645,434.701,479.614,471.216,519.71,540.887,561.734,581.023,598.329,615.262,632.535
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.193,1.309,2.258,2.417,3.177,4.317,4.28,4.581,5.273,5.475,6.232,7.276,8.682,13.239,20.983,33.05,48.852,44.297,52.909,65.952,69.684,74.164,75.235,52.997,37.83,41.375,47.113,48.174,42.693,54.825,78.721,76.639,78.749,81.438,84.596,88.192,92.414,97.433
"Bahamas, The",2.598,2.692,3.031,3.373,3.603,3.923,4.241,4.669,4.855,5.473,5.218,5.128,5.125,5.097,5.372,5.653,5.95,6.332,6.833,7.684,8.076,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.395,10.998,11.673,11.751,12.254,12.654,13.059,9.755,11.528,12.897,13.816,14.39,14.926,15.443,15.959,16.522,17.102
Bahrain,3.593,4.056,4.264,4.368,4.534,4.278,3.347,3.626,4.481,4.675,4.965,5.209,5.442,5.986,6.411,6.787,7.057,7.318,6.996,7.582,9.063,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.051,32.235,35.474,37.802,38.654,34.622,39.289,44.383,44.674,46.79,48.729,50.733,52.982,55.427,58.098
Bangladesh,24.775,26.355,24.678,23.904,26.817,28.819,29.639,32.449,34.914,38.07,41.068,42.488,43.292,43.684,46.438,51.842,55.445,57.599,59.879,61.526,61.687,62.537,65.036,71.755,77.152,79.53,86.028,95.374,109.765,122.76,138.094,154.097,159.749,179.676,207.102,233.687,265.236,293.755,321.379,351.238,373.902,416.265,460.201,446.349,455.162,491.815,546.924,613.706,691.865,779.978
